2004_cleaned.year,2004_cleaned.month,2004_cleaned.dayofmonth,2004_cleaned.dayofweek,2004_cleaned.crsdeptime,2004_cleaned.deptime,2004_cleaned.crsarrtime,2004_cleaned.arrtime,2004_cleaned.uniquecarrier,2004_cleaned.flightnum,2004_cleaned.tailnum,2004_cleaned.actualelapsedtime,2004_cleaned.crselapsedtime,2004_cleaned.airtime,2004_cleaned.arrdelay,2004_cleaned.depdelay,2004_cleaned.origin,2004_cleaned.dest,2004_cleaned.distance,2004_cleaned.taxiin,2004_cleaned.taxiout,2004_cleaned.cancelled,2004_cleaned.cancellationcode,2004_cleaned.diverted,2004_cleaned.carrierdelay,2004_cleaned.weatherdelay,2004_cleaned.nasdelay,2004_cleaned.securitydelay,2004_cleaned.lateaircraftdelay
2004,1,12,1,630,623,915,901,UA,462,N805UA,98,105,80,-14,-7,ORD,CLT,599,7,11,0,,0,0,0,0,0,0
2004,1,13,2,630,621,915,911,UA,462,N851UA,110,105,78,-4,-9,ORD,CLT,599,16,16,0,,0,0,0,0,0,0
2004,1,14,3,630,633,915,920,UA,462,N436UA,107,105,88,5,3,ORD,CLT,599,4,15,0,,0,0,0,0,0,0
2004,1,15,4,630,627,915,859,UA,462,N828UA,92,105,78,-16,-3,ORD,CLT,599,4,10,0,,0,0,0,0,0,0
2004,1,16,5,630,635,915,918,UA,462,N831UA,103,105,87,3,5,ORD,CLT,599,3,13,0,,0,0,0,0,0,0
2004,1,17,6,630,628,915,905,UA,462,N834UA,97,105,81,-10,-2,ORD,CLT,599,5,11,0,,0,0,0,0,0,0
2004,1,19,1,630,650,915,944,UA,462,N840UA,114,105,100,29,20,ORD,CLT,599,3,11,0,,0,20,0,9,0,0
2004,1,20,2,630,627,915,904,UA,462,N454UA,97,105,84,-11,-3,ORD,CLT,599,3,10,0,,0,0,0,0,0,0
2004,1,21,3,630,623,915,903,UA,462,N808UA,100,105,76,-12,-7,ORD,CLT,599,16,8,0,,0,0,0,0,0,0
2004,1,22,4,630,626,915,901,UA,462,N832UA,95,105,77,-14,-4,ORD,CLT,599,4,14,0,,0,0,0,0,0,0
2004,1,23,5,630,631,915,923,UA,462,N848UA,112,105,88,8,1,ORD,CLT,599,3,21,0,,0,0,0,0,0,0
2004,1,24,6,630,628,915,901,UA,462,N472UA,93,105,70,-14,-2,ORD,CLT,599,10,13,0,,0,0,0,0,0,0
2004,1,26,1,630,NA,915,NA,UA,462,000000,NA,105,NA,,,ORD,CLT,599,0,0,1,B,0,0,0,0,0,0
2004,1,27,2,630,625,915,939,UA,462,N819UA,134,105,88,24,-5,ORD,CLT,599,4,42,0,,0,0,0,24,0,0
2004,1,28,3,630,628,915,906,UA,462,N820UA,98,105,82,-9,-2,ORD,CLT,599,3,13,0,,0,0,0,0,0,0
2004,1,29,4,630,624,915,859,UA,462,N820UA,95,105,82,-16,-6,ORD,CLT,599,3,10,0,,0,0,0,0,0,0
